Symbol,Resistance,Support,Logged_On,Timeline,Comments
3IINFOLTD,63.96,30.15,05-Jul-24,10,-
3MINDIA,"40,816.35","28,409.40",05-Jul-24,10,Monthly Position
AARTIPHARM,663.25,398.9,05-Jul-24,5,-
AAVAS,"1,983.40","1,455.90",10-Jul-24,90,-
ACE,"1,700.50","1,171.70",15-Jul-24,10,-
ACI,701.8,580.3,15-Jul-24,10,
ADANIENSOL,"1,252.15",832.6,15-Jul-24,10,
ADANIGREEN,"2,175.15","1,539.05",15-Jul-24,10,
ADANIPOWER,899.4,500.35,15-Jul-24,10,
ADSL,157.92,123.22,15-Jul-24,10,
AFFLE,"1,396.00",955.2,15-Jul-24,10,
AGI,"1,091.45",610.45,15-Jul-24,10,
AHLUCONT,"1,387.85","1,016.70",15-Jul-24,10,
AIAENG,"4,625.80","3,547.65",15-Jul-24,10,
AJANTPHARM,"2,360.55","1,644.70",15-Jul-24,10,
AJMERA,887.05,325.35,15-Jul-24,10,
ALKYLAMINE,"2,799.90","1,802.55",15-Jul-24,10,
ALLCARGO,98.2,60.97,15-Jul-24,10,
ALOKINDS,39.23,16.02,15-Jul-24,10,
AMBER,"4,615.95","2,992.75",15-Jul-24,10,
AMIORG,,"1,412.60",15-Jul-24,10,
